C(65,5,3) = 4368
Created by: Tung Le
Method of Construction: group theory
Lower Bound: Schonheim


  3 29 31 41 49
  3 29 32 61 62
  3 29 34 42 54
  3 29 35 44 50
  3 29 37 55 64
  3 30 31 55 62
  3 30 35 43 60
  3 30 36 61 64
  3 31 32 36 37
  3 31 45 50 65
  3 32 49 53 64
  3 32 56 58 59
  3 33 36 60 65
  3 33 38 44 48
  3 33 46 54 57
  3 33 56 62 63
  3 34 51 64 65
  3 35 36 51 58
  3 35 40 42 62
  3 35 41 45 63
  3 35 47 52 53
  3 36 38 54 63
  3 36 41 53 55
  3 36 49 57 62
  3 37 41 57 61
  3 37 42 47 65
  3 38 42 43 59
  3 38 45 51 52
  3 38 46 49 56
  3 39 42 56 64
  3 39 46 50 58
  3 41 52 54 58
  3 43 50 53 56
  3 44 49 63 65
  3 44 56 57 60
  3 46 48 62 65
  3 47 51 54 55
  3 48 49 54 60
  4  5  6  7 65
  4  5  8 18 48
  4  5  9 13 64
  4  5 10 24 37
  4  5 11 34 54
  4  5 12 30 52
  4  5 14 27 56
  4  5 15 17 59
  4  5 16 49 58
  4  5 19 23 53
  4  5 20 21 26
  4  5 22 42 57
  4  5 25 36 55
  4  5 28 41 62
  4  5 29 35 38
  4  5 31 43 50
  4  5 32 39 45
  4  5 33 44 46
  4  6  9 17 60
  4  6 10 19 52
  4  6 11 44 51
  4  6 12 37 38
  4  6 13 40 42
  4  6 14 16 26
  4  6 15 57 64
  4  6 18 25 39
  4  6 20 50 58
  4  6 21 31 56
  4  6 23 30 35
  4  6 24 29 53
  4  6 27 43 49
  4  6 28 46 47
  4  6 33 34 41
  4  6 36 45 61
  4  6 48 55 63
  4  7  8 45 55
  4  7 10 23 38
  4  7 11 46 62
  4  7 12 19 29
  4  7 13 17 22
  4  7 14 31 58
  4  7 15 42 60
  4  7 16 21 43
  4  7 20 49 56
  4  7 24 35 52
  4  7 25 32 63
  4  7 26 27 50
  4  7 28 34 51
  4  7 30 37 53
  4  7 33 47 54
  4  7 39 48 61
  4  7 40 59 64
  4  8  9 28 56
  4  8 10 49 51
  4  8 11 40 43
  4  8 12 14 41
  4  8 13 27 52
  4  8 16 37 59
  4  8 17 24 47
  4  8 19 42 44
  4  8 20 23 57
  4  8 21 46 53
  4  8 22 26 33
  4  8 25 61 65
  4  8 29 31 60
  4  8 30 62 64
  4  8 35 50 54
  4  8 36 39 63
  4  9 10 20 34
  4  9 11 26 63
  4  9 12 27 62
  4  9 14 30 48
  4  9 15 22 40
  4  9 16 35 44
  4  9 18 41 52
  4  9 19 25 50
  4  9 23 51 55
  4  9 29 32 46
  4  9 31 47 53
  4  9 33 39 58
  4  9 37 54 61
  4  9 38 45 49
  4  9 42 59 65
  4 10 12 35 53
  4 10 14 36 46
  4 10 15 16 47
  4 10 17 18 58
  4 10 21 54 63
  4 10 22 31 62
  4 10 25 33 60
  4 10 26 61 64
  4 10 27 40 44
  4 10 28 45 57
  4 10 29 30 65
  4 10 32 42 43
  4 10 39 41 50
  4 11 12 25 57
  4 11 14 17 23
  4 11 15 39 56
  4 11 16 30 55
  4 11 18 31 38
  4 11 19 27 32
  4 11 20 24 61
  4 11 21 37 64
  4 11 22 36 58
  4 11 35 48 60
  4 11 41 47 65
  4 11 42 49 52
  4 11 45 53 59
  4 12 13 28 48
  4 12 15 31 44
  4 12 16 22 34
  4 12 17 43 61
  4 12 18 56 64
  4 12 20 40 47
  4 12 21 39 51
  4 12 23 24 65
  4 12 36 49 54
  4 12 42 55 58
  4 12 46 50 63
  4 13 14 18 62
  4 13 16 29 39
  4 13 19 43 51
  4 13 20 37 63
  4 13 21 34 61
  4 13 23 31 36
  4 13 24 26 54
  4 13 30 41 56
  4 13 32 44 49
  4 13 33 35 45
  4 13 38 46 58
  4 13 47 50 55
  4 13 57 59 60
  4 14 15 19 45
  4 14 20 43 65
  4 14 21 49 50
  4 14 24 25 40
  4 14 28 52 64
  4 14 32 34 59
  4 14 35 51 63
  4 14 39 53 54
  4 14 44 55 60
  4 14 47 57 61
  4 15 18 37 51
  4 15 20 35 62
  4 15 21 25 38
  4 15 23 32 54
  4 15 24 48 49
  4 15 26 28 36
  4 15 27 34 53
  4 15 29 41 55
  4 15 33 43 63
  4 15 46 52 61
  4 16 17 48 51
  4 16 19 28 61
  4 16 20 27 31
  4 16 23 60 63
  4 16 25 42 54
  4 16 32 33 38
  4 16 36 52 57
  4 16 40 53 62
  4 16 45 46 64
  4 16 50 56 65
  4 17 19 34 39
  4 17 20 25 41
  4 17 21 28 29
  4 17 26 35 55
  4 17 27 45 54
  4 17 30 44 63
  4 17 32 53 56
  4 17 33 50 52
  4 17 36 38 62
  4 17 40 57 65
  4 18 19 20 33
  4 18 21 44 57
  4 18 22 23 46
  4 18 26 42 53
  4 18 27 28 30
  4 18 29 40 54
  4 18 32 55 61
  4 18 34 50 60
  4 18 45 63 65
  4 18 47 49 59
  4 19 21 22 48
  4 19 24 30 38
  4 19 26 46 57
  4 19 35 37 65
  4 19 36 47 64
  4 19 41 58 60
  4 19 54 56 59
  4 20 22 44 53
  4 20 28 38 55
  4 20 29 36 59
  4 20 39 52 60
  4 20 42 46 48
  4 21 23 33 42
  4 21 27 58 65
  4 21 30 40 45
  4 21 32 47 60
  4 21 35 36 41
  4 21 55 59 62
  4 22 24 45 50
  4 22 25 30 49
  4 22 27 35 47
  4 22 28 39 43
  4 22 29 51 61
  4 22 32 37 41
  4 22 52 54 55
  4 22 60 64 65
  4 23 25 43 47
  4 23 26 44 48
  4 23 27 39 59
  4 23 29 37 52
  4 23 34 45 56
  4 23 40 41 61
  4 24 27 33 55
  4 24 28 31 32
  4 24 34 63 64
  4 24 39 42 62
  4 24 41 43 57
  4 24 46 56 60
  4 24 51 58 59
  4 25 26 29 62
  4 25 28 35 59
  4 25 31 51 64
  4 25 34 52 58
  4 25 37 44 56
  4 26 30 51 60
  4 26 31 49 65
  4 26 38 41 59
  4 26 43 56 58
  4 26 45 47 52
  4 27 29 57 63
  4 27 36 37 60
  4 27 41 48 64
  4 28 37 42 50
  4 28 40 58 63
  4 28 44 54 65
  4 29 33 49 64
  4 29 34 43 48
  4 29 44 45 58
  4 30 31 33 61
  4 30 34 36 42
  4 30 43 46 59
  4 30 54 57 58
  4 31 34 35 40
  4 31 37 39 57
  4 31 41 42 45
  4 31 52 59 63
  4 32 35 58 64
  4 32 36 48 65
  4 32 40 51 52
  4 32 50 57 62
  4 33 36 40 56
  4 33 48 53 57
  4 33 51 62 65
  4 34 44 47 62
  4 34 49 55 57
  4 35 39 46 49
  4 35 42 56 61
  4 36 50 51 53
  4 37 40 46 55
  4 37 43 45 62
  4 37 47 48 58
  4 38 39 44 64
  4 38 40 48 50
  4 38 42 47 63
  4 38 43 54 60
  4 38 51 56 57
  4 38 52 53 65
  4 41 46 51 54
  4 41 49 53 63
  4 43 53 55 64
  4 44 50 59 61
  4 48 52 56 62
  4 49 60 61 62
  5  6  8 30 44
  5  6  9 27 63
  5  6 10 16 41
  5  6 11 21 32
  5  6 13 14 19
  5  6 17 43 47
  5  6 20 22 39
  5  6 24 36 62
  5  6 25 37 58
  5  6 26 34 42
  5  6 28 49 55
  5  6 31 35 51
  5  6 33 40 52
  5  6 38 50 59
  5  6 45 54 57
  5  6 46 48 60
  5  6 53 61 64
  5  7  8 52 60
  5  7  9 53 56
